school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, address_line_2, postal_state, school_no,longitude, address_town, education_sector, full_phone_no,latitude, entity_type
Secondary,161,3805,Fountain Gate Secondary College,P O Box 181,O,null,Hallam,VIC,3803,Casey (C),45 Josephine Avenue,null,VIC,8870,145.2951,Narre Warren,Government,03 8762 6839,-38.0062,1
Secondary,161,3977,Alkira Secondary College,P O Box 4314,O,null,Narre Warren South,VIC,3805,Casey (C),15 Nurture Avenue,null,VIC,8874,145.31052,Cranbourne North,Government,03 5991 3500,-38.07331,1
Secondary,534,3912,Somerville Secondary College,37 Graf Road,O,null,Somerville,VIC,3912,Mornington Peninsula (S),37 Graf Road,null,VIC,8875,145.16823,Somerville,Government,03 5973 1000,-38.22722,1
Secondary,590,3206,Albert Park College,83 Danks Street,O,null,Albert Park,VIC,3206,Port Phillip (C),83 Danks Street,null,VIC,8889,144.94742,Albert Park,Government,03 8695 9000,-37.84437,1
Pri/Sec,189,3085,Charles La Trobe P-12 College,P O Box 5023 HWDC,O,null,Heidelberg West,VIC,3081,Darebin (C),235 Kingsbury Drive,null,VIC,8890,145.05978,Macleod West,Government,03 9223 1400,-37.72915,1
Secondary,118,3021,Victoria University Secondary College,P O Box 83,O,null,St. Albans,VIC,3021,Brimbank (C),5A Jamieson Street,null,VIC,8891,144.78595,St Albans,Government,03 8312 0200,-37.74032,1
Secondary,525,3046,Glenroy Secondary College,120 Glenroy Road,O,null,Glenroy,VIC,3046,Moreland (C),120 Glenroy Road,null,VIC,8893,144.925,Glenroy,Government,03 9304 0400,-37.7047,1
Secondary,525,3060,John Fawkner Secondary College,P O Box 76,O,null,Fawkner,VIC,3060,Moreland (C),Jukes Road,null,VIC,8894,144.97186,Fawkner,Government,03 9359 1166,-37.70271,1
Secondary,189,3073,William Ruthven Secondary College,60 Merrilands Road,O,null,Reservoir,VIC,3073,Darebin (C),60 Merrilands Road,null,VIC,8895,145.003,Reservoir,Government,03 9462 2177,-37.69653,1
Secondary,161,3977,Cranbourne East Secondary College,P O Box 5436,O,null,Cranbourne,VIC,3977,Casey (C),50 Stately Drive,null,VIC,8898,145.30603,Cranbourne East,Government,03 5990 0200,-38.10487,1
Pri/Sec,161,3177,Doveton College,P O Box 105,O,null,DOVETON,VIC,3177,Casey (C),62 Tristania Street,null,VIC,8905,145.24329,Doveton,Government,03 8765 0111,-37.9903,1
Secondary,145,3809,Officer Secondary College (interim name),P O Box 225,O,null,Officer,VIC,3809,Cardinia (S),1 Parker Street,null,VIC,8907,145.4109,Officer,Government,03 5942 4000,-38.07195,1
Pri/Sec,465,3023,Brookside P-9 College,P O Box 3438,O,null,Caroline Springs,VIC,3023,Melton (C),Federation Way,null,VIC,8908,144.73653,Caroline Springs,Government,03 9361 4201,-37.74638,1
Pri/Sec,465,3023,Creekside K-9 College,P O BOX 3300,O,null,Caroline Springs,VIC,3023,Melton (C),The Crossing,null,VIC,8909,144.73804,Caroline Springs,Government,03 9361 4202,-37.73445,1
Secondary,465,3023,Lakeview Senior College,P O Box 3461,O,null,Caroline Springs,VIC,3023,Melton (C),College Street,null,VIC,8910,144.73708,Caroline Springs,Government,03 9219 3100,-37.73566,1
Pri/Sec,465,3023,Springside P-9 College,P O Box 3439,O,null,Caroline Springs,VIC,3023,Melton (C),22 Becca Way,null,VIC,8911,144.73866,Caroline Springs,Government,03 9449 6400,-37.71118,1
Secondary,441,3136,Melba Secondary College,Brentnall Road,O,null,Croydon,VIC,3136,Maroondah (C),Brentnall Road,null,VIC,8912,145.26118,Croydon,Government,03 9870 4551,-37.79513,1
Pri/Sec,367,3155,Boronia K-12 College,P O Box 537,O,null,Boronia,VIC,3155,Knox (C),35-37 Albert Avenue,null,VIC,8913,145.28941,Boronia,Government,03 9760 4900,-37.85893,1
Pri/Sec,726,3029,Tarneit P-9 College,PO Box 8268,O,null,Tarneit,VIC,3029,Wyndham (C),21-23 Brinbrook Street,null,VIC,8914,144.68073,Tarneit,Government,03 9749 0506,-37.83651,1
Pri/Sec,460,3004,Wesley College,577 St Kilda Road,O,null,MELBOURNE,VIC,3004,Melbourne (C),577 St Kilda Road,null,VIC,1,144.98215,MELBOURNE,Independent,03 8102 6100,-37.84883,2
Pri/Sec,635,3146,Korowa Anglican Girls' School (0005),10 - 16 Ranfurlie Crescent,O,null,GLEN IRIS,VIC,3146,Stonnington (C),10 - 16 Ranfurlie Crescent,null,VIC,5,145.05464,GLEN IRIS,Independent,03 9811 0200,-37.86145,2
