school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, ogc_fid, address_line_2, school_no, postal_state, address_town, education_sector, full_phone_no, entity_type,y,x
Pri/Sec,745,3138,Billanook College,197-199 Cardigan Road,O,null,MOOROOLBARK,VIC,3138,Yarra Ranges (S),197-199 Cardigan Road,2036,null,1816,VIC,MOOROOLBARK,Independent,03 9725 5388,2,-37.78785168,145.3388701
Primary,735,3068,Fitzroy Community School,597 Brunswick Street,O,null,FITZROY NORTH,VIC,3068,Yarra (C),597 Brunswick Street,2037,null,1819,VIC,FITZROY NORTH,Independent,03 9489 5700,2,-37.789173,144.97981
Primary,161,3802,St Paul Apostle South School,9 William Hovell Drive,O,null,ENDEAVOUR HILLS,VIC,3802,Casey (C),9 William Hovell Drive,2038,null,1820,VIC,ENDEAVOUR HILLS,Catholic,03 9700 3663,2,-37.980524,145.257929
Primary,343,3169,St Andrew's School,96 Bunney Road,O,null,CLAYTON SOUTH,VIC,3169,Kingston (C),96 Bunney Road,2039,null,1821,VIC,CLAYTON SOUTH,Catholic,03 9551 5094,2,-37.93489,145.107195
Primary,534,3930,St Thomas More's School,PO Box 240,O,null,MOUNT ELIZA,VIC,3930,Mornington Peninsula (S),313 Canadian Bay Road,2040,null,1822,VIC,MOUNT ELIZA,Catholic,03 9787 7788,2,-38.197726,145.101137
Pri/Sec,571,3754,Plenty Valley Christian College,840 Yan Yean Road,O,null,DOREEN,VIC,3754,Nillumbik (S),840 Yan Yean Road,2044,null,1826,VIC,DOREEN,Independent,03 9717 7400,2,-37.613463,145.138791
Primary,726,3029,St James the Apostle School,Derrimut Road,O,null,HOPPERS CROSSING NORTH,VIC,3029,Wyndham (C),Derrimut Road,2045,null,1829,VIC,HOPPERS CROSSING NORTH,Catholic,03 9749 1000,2,-37.857286,144.687493
Primary,367,3178,St Simon's School,2 Taylors Lane,O,null,ROWVILLE,VIC,3178,Knox (C),2 Taylors Lane,2046,null,1830,VIC,ROWVILLE,Catholic,03 9755 4222,2,-37.925677,145.245327
Primary,311,3028,Queen of Peace Primary School,PO Box 1259,O,null,ALTONA MEADOWS,VIC,3028,Hobsons Bay (C),62 Everingham Road,2047,null,1831,VIC,ALTONA MEADOWS,Catholic,03 9369 2581,2,-37.875148,144.791697
Primary,161,3805,Don Bosco School,496 Princes Highway,O,null,NARRE WARREN,VIC,3805,Casey (C),496 Princes Highway,2048,null,1832,VIC,NARRE WARREN,Catholic,03 9704 7255,2,-38.025966,145.315012
Primary,275,3226,Our Lady Star of the Sea School,PO Box 800,O,null,OCEAN GROVE,VIC,3226,Greater Geelong (C),13-29 John Dory Drive,2049,null,1833,VIC,OCEAN GROVE,Catholic,03 5255 4308,2,-38.26078,144.540157
Secondary,118,3037,Catholic Regional College Institute of Training,380 Sydenham Road,O,null,SYDENHAM,VIC,3037,Brimbank (C),380 Sydenham Road,2050,null,1834,VIC,SYDENHAM,Catholic,03 9361 0000,2,-37.699136,144.771012
Secondary,118,3036,Catholic Regional College North Keilor,PO Box 40,O,null,TAYLORS LAKES,VIC,3038,Brimbank (C),Santa Monica Drive,2051,null,1835,VIC,KEILOR NORTH,Catholic,03 9361 5900,2,-37.699943,144.805062
Primary,441,3136,Village School,PO Box 5101,O,null,WONGA PARK,VIC,3115,Maroondah (C),9-13 Holloway Road,2052,null,1836,VIC,CROYDON NORTH,Independent,03 9726 4766,2,-37.763749,145.294493
Pri/Sec,217,3911,Bayside Christian College,PO Box 37,O,null,FRANKSTON,VIC,3199,Frankston (C),120-128 Robinsons Road,2053,null,1837,VIC,LANGWARRIN SOUTH,Independent,03 5971 6700,2,-38.178632,145.16302
Special,111,3101,Andale School,PO Box 2483,O,null,KEW,VIC,3101,Boroondara (C),84 Charles Street,2054,null,1838,VIC,KEW,Independent,03 9853 3911,2,-37.805513,145.036044
Pri/Sec,367,3152,The Knox School,PO Box 4508,O,Knox City,WANTIRNA SOUTH,VIC,3152,Knox (C),220 Burwood Highway,2057,null,1841,VIC,WANTIRNA SOUTH,Independent,03 8805 3800,2,-37.865467,145.219198
Pri/Sec,726,3030,Heathdale Christian College,PO Box 1042,O,Werribee Plaza,WERRIBEE,VIC,3030,Wyndham (C),175 Derrimut Rd,2058,null,1846,VIC,WERRIBEE,Independent,03 9749 1522,2,-37.881318,144.681332
Pri/Sec,161,3978,Hillcrest Christian College,PO Box 498,O,null,BEACONSFIELD,VIC,3807,Casey (C),500 Soldiers Road,2059,null,1848,VIC,CLYDE NORTH,Independent,03 9702 2144,2,-38.084681,145.363801
Primary,118,3020,Sunshine Christian School,PO Box 322,O,null,SUNSHINE,VIC,3020,Brimbank (C),81 - 83 Westmoreland Road,2061,null,1850,VIC,SUNSHINE NORTH,Independent,03 9312 1253,2,-37.768396,144.835864
Special,497,3147,Frank Dando Sports Academy,33 Raymond Street,O,null,ASHWOOD,VIC,3147,Monash (C),33 Raymond Street,2062,null,1852,VIC,ASHWOOD,Independent,03 9807 2111,2,-37.8668,145.108886
Pri/Sec,145,3810,Beaconhills College,30-34 Toomuc Valley Road,O,null,PAKENHAM,VIC,3810,Cardinia (S),30-34 Toomuc Valley Road,2063,null,1855,VIC,PAKENHAM,Independent,1300 002 225,2,-38.061898,145.467319
Primary,745,3137,Ghilgai School,295 Liverpool Road,O,null,KILSYTH,VIC,3137,Yarra Ranges (S),295 Liverpool Road,2064,null,1856,VIC,KILSYTH,Independent,03 9728 5819,2,-37.82913713,145.3189311
Primary,367,3154,St Bernadette's Catholic Primary School,PO Box 106,O,null,THE BASIN,VIC,3154,Knox (C),1264 Mountain Highway,2065,null,1857,VIC,THE BASIN,Catholic,03 9762 5135,2,-37.853904,145.310841
